# angle I
-1.782641559849780890e+02 2.680991735537190124e+01
-1.767256603626863978e+02 2.496031746031745868e+01
-1.751516685183508741e+02 2.744531250000000000e+01
-1.735805643901304620e+02 3.260317460317460103e+01
-1.720311747100242030e+02 4.394531250000000000e+01
-1.704516772968714236e+02 2.761068702290076260e+01
-1.688784992178764810e+02 4.382307692307692548e+01
-1.673212882437230746e+02 2.877099236641221225e+01
-1.657501125823903863e+02 4.472592592592592808e+01
-1.641847067960560196e+02 1.592592592592592560e+01
-1.626270241396796337e+02 4.056204379562043982e+01
-1.610609990920800101e+02 3.025531914893617014e+01
-1.595021138712268112e+02 3.216901408450704025e+01
-1.579372651885352070e+02 2.691836734693877631e+01
-1.563750858371853383e+02 4.048993288590604323e+01
-1.548203592782366229e+02 2.090789473684210620e+01
-1.532627513341737711e+02 3.653125000000000000e+01
-1.516854579282136513e+02 2.982608695652173836e+01
-1.501186799374993655e+02 2.764285714285714235e+01
-1.485539908144264416e+02 3.617261904761905100e+01
-1.470141944183561975e+02 3.312195121951219789e+01
-1.454487711201018101e+02 3.440935672514619625e+01
-1.438955790078226471e+02 3.857317073170731447e+01
-1.423250477272079593e+02 3.536046511627907307e+01
-1.407395520945102021e+02 3.230177514792899274e+01
-1.391644868155649988e+02 4.064117647058823479e+01
-1.376050193309487781e+02 2.885542168674698971e+01
-1.360708223546856743e+02 3.373939393939394193e+01
-1.345288716372965041e+02 2.586046511627906952e+01
-1.329163482418241529e+02 3.939999999999999858e+01
-1.313508031430831409e+02 3.720238095238094900e+01
-1.297851545706540151e+02 4.675000000000000000e+01
-1.282265271769897765e+02 4.599401197604790070e+01
-1.266701018011445115e+02 3.762721893491124092e+01
-1.251058061911501369e+02 4.451497005988024114e+01
-1.235382662890048238e+02 5.424260355029586123e+01
-1.219703194341697099e+02 5.182248520710059125e+01
-1.204055034097160188e+02 7.180838323353293617e+01
-1.188581993332151683e+02 5.470658682634730496e+01
-1.173639550649970715e+02 9.821153846153846700e+01
-1.157682629618436323e+02 1.681092896174863256e+02
-1.141501716816402450e+02 1.797142857142857224e+02
-1.126084455475319999e+02 1.795090909090909008e+02
-1.110371180368449160e+02 1.766104651162790731e+02
-1.094657158076532681e+02 1.321939393939393881e+02
-1.079151346867521681e+02 1.294534883720930338e+02
-1.063380778024569651e+02 1.304550898203592908e+02
-1.047972238652094177e+02 1.342969696969697111e+02
-1.032273319886400174e+02 1.623567251461988405e+02
-1.016488429084341192e+02 2.083136094674556205e+02
-1.000843988638826403e+02 3.429226190476190368e+02
-9.852140821740529475e+01 3.042916666666666856e+02
-9.695365423933165516e+01 1.868816568047337228e+02
-9.539415276571152447e+01 7.879761904761905100e+01
-9.383522005335464655e+01 2.728690476190475920e+02
-9.227175306291020718e+01 7.120119047619048160e+02
-8.756116779979645059e+01 6.352380952380951840e+02
-8.598904766450216641e+01 2.716529411764705628e+02
-8.444851481103178514e+01 3.757777777777777715e+02
-8.289928333582997766e+01 2.613757225433525946e+02
-8.132823213724266509e+01 2.649454545454545382e+02
-7.976559658543087039e+01 2.746842105263157805e+02
-7.818649337091811446e+01 2.105917159763313578e+02
-7.661802556731777258e+01 2.595952380952380736e+02
-7.505628448760104732e+01 2.585739644970414020e+02
-7.349058951885193380e+01 2.506488095238095184e+02
-7.193637815953773895e+01 1.493313253012048278e+02
-7.037482461467517680e+01 1.105833333333333286e+02
-6.881298329612265263e+01 9.288690476190475920e+01
-6.724408254037427923e+01 8.373372781065089043e+01
-6.567592119704140430e+01 8.839285714285713880e+01
-6.404294843618390587e+01 9.999453551912567661e+01
-6.249550755855894124e+01 8.619354838709676869e+01
-6.098931821352161364e+01 8.880357142857143060e+01
-5.942432928188996755e+01 6.296428571428571530e+01
-5.785450397943764500e+01 5.362941176470588545e+01
