# angle I
-1.786700025631160713e+02 1.758750000000000000e+03
-1.786186176577920151e+02 2.697666666666666515e+03
-1.780282012517459975e+02 2.148428571428571558e+03
-1.774088839565275180e+02 2.174857142857142662e+03
-1.767901727828948424e+02 2.169285714285714221e+03
-1.761508644284740512e+02 1.986000000000000000e+03
-1.755551411854424373e+02 2.148857142857142662e+03
-1.750546670355014101e+02 1.595000000000000000e+03
-1.745687268512953381e+02 1.932285714285714221e+03
-1.740304247115008422e+02 2.149571428571428442e+03
-1.734905352293486942e+02 1.863571428571428669e+03
-1.729492481111349491e+02 1.774428571428571331e+03
-1.723727709679136808e+02 1.956375000000000000e+03
-1.718366286500252897e+02 2.495666666666666515e+03
-1.713483657614286244e+02 1.891142857142857110e+03
-1.708162895797918281e+02 1.709285714285714221e+03
-1.702325339691307420e+02 2.029444444444444343e+03
-1.696580146694894324e+02 1.992250000000000000e+03
-1.690858137180704546e+02 2.030111111111111086e+03
-1.685449987310238100e+02 2.293428571428571558e+03
-1.680489870325487800e+02 2.379375000000000000e+03
-1.674865528261985048e+02 2.174222222222222172e+03
-1.669437609676015768e+02 2.338250000000000000e+03
-1.664080935280857432e+02 2.346900000000000091e+03
-1.658135808144006376e+02 2.314000000000000000e+03
-1.652764196005773556e+02 2.005875000000000000e+03
-1.647546261385159596e+02 2.339900000000000091e+03
-1.642237660856301602e+02 2.067555555555555657e+03
-1.636912749988014468e+02 2.298090909090909008e+03
-1.631327787767368136e+02 1.902500000000000000e+03
-1.626073736355025687e+02 2.243300000000000182e+03
-1.620962076125660758e+02 2.143090909090909008e+03
-1.615410094044958385e+02 2.205583333333333485e+03
-1.609687267873856911e+02 2.199166666666666515e+03
-1.604003661833190506e+02 2.191500000000000000e+03
-1.598805290547036009e+02 2.185250000000000000e+03
-1.593378329923271224e+02 2.258615384615384755e+03
-1.587779087697596481e+02 2.259538461538461434e+03
-1.582318863982151242e+02 2.500076923076922867e+03
-1.577002421050191856e+02 2.328285714285714221e+03
-1.571701899759413834e+02 2.280384615384615245e+03
-1.566442668854508895e+02 2.227133333333333212e+03
-1.560803987728719733e+02 2.167312500000000000e+03
-1.555229202162555566e+02 2.198866666666666788e+03
-1.549701313765893929e+02 2.204000000000000000e+03
-1.544050578392037778e+02 2.196333333333333485e+03
-1.538424956145572366e+02 2.215562500000000000e+03
-1.533090948175209007e+02 2.255823529411764866e+03
-1.527866443408762791e+02 2.252294117647059011e+03
-1.522546066246411272e+02 2.323666666666666515e+03
-1.517031078071662762e+02 2.227000000000000000e+03
-1.511509480011433197e+02 2.157526315789473756e+03
-1.506311903042449103e+02 2.144199999999999818e+03
-1.500924941798272698e+02 2.208761904761904589e+03
-1.495495094279233399e+02 2.233142857142857338e+03
-1.490078265453738879e+02 2.226086956521739012e+03
-1.484466092393890904e+02 2.189913043478260988e+03
-1.478977782967690757e+02 2.335208333333333485e+03
-1.473610567398854414e+02 2.146565217391304486e+03
-1.468539249456601965e+02 2.322500000000000000e+03
-1.462854157505717865e+02 2.166275862068965580e+03
-1.457147741134145065e+02 2.226653846153846189e+03
-1.451835171860815024e+02 2.340851851851851734e+03
-1.446360606228501808e+02 2.015466666666666697e+03
-1.440993248087375491e+02 2.219185185185185219e+03
-1.435612315556887211e+02 2.478064516129032199e+03
-1.430168748137309365e+02 2.200870967741935601e+03
-1.424731163856145599e+02 2.245843750000000000e+03
-1.419355378428114136e+02 2.233121212121212011e+03
-1.413899820302687544e+02 2.220314285714285688e+03
-1.408446089518930364e+02 2.264878787878787989e+03
-1.402899514022864480e+02 2.257800000000000182e+03
-1.397543599180880278e+02 2.293903225806451701e+03
-1.392258072287883408e+02 2.110323529411764866e+03
-1.386687308719496912e+02 2.352735294117646845e+03
-1.381290157653473614e+02 2.209375000000000000e+03
-1.375871284103165237e+02 2.122205882352940989e+03
-1.370252147166110035e+02 2.220472222222222172e+03
-1.364824137348169018e+02 2.327156250000000000e+03
-1.359511887880040888e+02 2.241314285714285688e+03
-1.354784548716636152e+02 2.199625000000000000e+03
-1.348946678725345976e+02 2.210604166666666515e+03
-1.342881882100845132e+02 2.279000000000000000e+03
-1.337906267318331857e+02 2.309944444444444343e+03
-1.332273771684776875e+02 2.361823529411764866e+03
-1.326968617602743450e+02 2.415575757575757507e+03
-1.321380849193524227e+02 2.293657142857142844e+03
-1.315890512401293790e+02 2.431250000000000000e+03
-1.310580465342025605e+02 2.337363636363636488e+03
-1.305112526061914195e+02 2.219823529411764866e+03
-1.299582605420863217e+02 2.451176470588235134e+03
-1.294130587694855024e+02 2.507242424242424022e+03
-1.288796481148879423e+02 2.317484848484848499e+03
-1.283483047219429523e+02 2.530735294117646845e+03
-1.277921561381873659e+02 2.170176470588235134e+03
-1.272312408912911366e+02 2.546485714285714494e+03
-1.266913070566211985e+02 2.513093750000000000e+03
-1.261566157077895411e+02 2.445323529411764866e+03
-1.256096807233421799e+02 2.417272727272727479e+03
-1.250793755794025373e+02 2.424727272727272521e+03
-1.245380877844868905e+02 2.491764705882353155e+03
-1.240097240328345265e+02 2.740875000000000000e+03
-1.234575149910369589e+02 2.607527777777777828e+03
-1.228927126162966488e+02 2.741000000000000000e+03
-1.223539123576037895e+02 2.619484848484848499e+03
-1.218171363138259693e+02 2.503757575757575978e+03
-1.212569387727461816e+02 2.932472222222222172e+03
-1.207088743956765171e+02 2.840000000000000000e+03
-1.201812823299677859e+02 2.868303030303030482e+03
-1.196455009076234717e+02 2.853303030303030482e+03
-1.190988058402720924e+02 2.850393939393939490e+03
-1.185583000798837077e+02 3.055470588235294144e+03
-1.180093923959750697e+02 2.990382352941176578e+03
-1.174548853754379678e+02 2.853911764705882433e+03
-1.168966758190495767e+02 3.140388888888888687e+03
-1.163539336320972950e+02 3.065366666666666788e+03
-1.158253244252485672e+02 2.976057142857142935e+03
-1.152740076965642402e+02 3.023705882352940989e+03
-1.147255940756274839e+02 3.058454545454545496e+03
-1.141952400539379227e+02 2.791000000000000000e+03
-1.136610698089186684e+02 2.759545454545454504e+03
-1.131051545487219414e+02 2.895058823529411711e+03
-1.125636005077774939e+02 2.984121212121212011e+03
-1.120049481585831188e+02 2.832277777777777828e+03
-1.114630272213707514e+02 3.009483870967741950e+03
-1.109317037210041832e+02 2.960264705882353155e+03
-1.103879393399284510e+02 2.749303030303030482e+03
-1.098453913957701786e+02 2.893303030303030482e+03
-1.093002413957562169e+02 3.082823529411764866e+03
-1.087817231609593307e+02 3.009580645161290249e+03
-1.082419059784843256e+02 2.994000000000000000e+03
-1.076747818146480142e+02 3.180628571428571377e+03
-1.071242596712709343e+02 2.963696969696969518e+03
-1.065798349763988284e+02 2.607558823529411711e+03
-1.060414004194946216e+02 2.871117647058823422e+03
-1.055045437516887432e+02 2.845545454545454504e+03
-1.049631227311165986e+02 2.546060606060606005e+03
-1.044296284060296216e+02 2.352303030303030482e+03
-1.038752586310360755e+02 2.494111111111111313e+03
-1.033141583263652166e+02 2.712121212121212011e+03
-1.027778761683678539e+02 2.771000000000000000e+03
-1.022386860981902856e+02 3.400142857142857338e+03
-1.017085349195834283e+02 3.345774193548387302e+03
-1.011641028897885803e+02 2.870361111111111313e+03
-1.006040803641007244e+02 2.782363636363636488e+03
-1.000604895618319432e+02 2.774617647058823422e+03
-9.951938858916160768e+01 2.661757575757575978e+03
-9.897673934865376566e+01 3.291294117647059011e+03
-9.842465744666114347e+01 4.156823529411764866e+03
-9.787478299377421820e+01 3.036030303030303003e+03
-9.734122795418652174e+01 2.469625000000000000e+03
-9.679919185320773067e+01 2.420342857142857156e+03
-9.625093651804724004e+01 2.821000000000000000e+03
-9.571913418424213660e+01 3.661303030303030482e+03
-9.516384104261531718e+01 3.761914285714285597e+03
-9.460564208876712655e+01 2.981606060606060510e+03
-9.406113973935809724e+01 2.246060606060606005e+03
-9.352510238795687769e+01 4.266656250000000000e+03
-9.299902559421911974e+01 6.902125000000000000e+03
-9.246684382601684149e+01 1.762393939393939490e+03
-9.191306434654052282e+01 3.051742857142857247e+03
-9.134036476604667598e+01 6.563542857142857429e+03
-8.859265408628225202e+01 1.853967741935483900e+03
-8.809785239120883205e+01 1.969333333333333258e+03
